Row Number,Publisher,Title,Author,Description,URL,Published At
264,Chicago Tribune,"‘Hunger Games’ feasts, ‘Napoleon’ conquers but ‘Wish’ doesn’t come true at Thanksgiving box office",Jake Coyle,"The Walt Disney Co.’s “Wish” had been expected to rule the Thanksgiving weekend box office, but moviegoers instead feasted on leftovers, as “The Hunger Games: The Ballad of Songbirds and Snakes” led ticket sales for the second weekend, according to studio est…",https://www.chicagotribune.com/entertainment/ct-ent-box-office-hunger-games-napoleon-20231126-wt6vqwj3y5ev7khegmilzev7r4-story.html,2023-11-26T18:31:25Z
265,Chicago Tribune,"Bedford Park police officer shot at gas station responding to stolen car, police say",Rebecca Johnson,"A Bedford Park police officer was hospitalized after he was shot multiple times during a struggle at a Speedway gas station in the southern suburb, police said.",https://www.chicagotribune.com/news/breaking/ct-bedford-park-police-officer-shot-20231126-whu3tcgylncvhggzbec3peexb4-story.html,2023-11-26T17:56:28Z
266,Chicago Tribune,"Bedford Park police officer shot at gas station responding to stolen car, police say",Rebecca Johnson,"A Bedford Park police officer was hospitalized after he was shot multiple times during a struggle at a Speedway gas station in the southern suburb, police said.",https://www.chicagotribune.com/news/breaking/ct-bedford-park-police-officer-shot-20231126-whu3tcgylncvhggzbec3peexb4-story.html,2023-11-26T17:56:28Z
267,Chicago Tribune,Tom Allen won’t return for an 8th season as Indiana football coach,Michael Marot,The Indiana Hoosiers will not bring back football coach Tom Allen next year for an eighth season.,https://www.chicagotribune.com/sports/college/ct-indiana-football-tom-allen-20231126-o4ewycbmrzdr3lb6xwvvtvcv3q-story.html,2023-11-26T15:46:02Z
268,Chicago Tribune,"Snow falls across Chicago, winter weather advisory in effect during one of the busiest travel days of the year",Rebecca Johnson,"A winter weather advisory is in effect until 2 p.m. in Chicago, with meteorologists predicting snow accumulations of one to three inches across portions of north central and northeast Illinois.",https://www.chicagotribune.com/news/breaking/ct-winter-weather-advisory-travel-thanksgiving-20231126-rmqdrqxmrzapfewuthrm6jiigy-story.html,2023-11-26T15:29:58Z
269,Chicago Tribune,"5 people, including 15-year-old boy, injured after U-Haul collides with SUV in Grand Crossing, police say",Rebecca Johnson,"Five people were injured, including a 15-year-old boy, when a U-Haul cargo truck collided with a black SUV early Sunday morning in Grand Crossing, according to Chicago police.",https://www.chicagotribune.com/news/breaking/ct-uhaul-suv-collision-grand-crossing-20231126-cmd5ug7pg5cdzna6pe5sylrkce-story.html,2023-11-26T15:04:33Z
270,The Wall Street Journal,"To Shrink Learning Gap, This District Offers Classes Separated by Race...","Sara Randazzo, Douglas Belkin","To Shrink Learning Gap, This District Offers Classes Separated by Race...

 
 
 
 (First column, 6th story, link)

 

 

 
 
 Drudge Report Feed needs your support!   Become a Patron",https://www.wsj.com/us-news/education/to-shrink-learning-gap-this-district-offers-classes-separated-by-race-394d82dd,2023-11-26T14:07:38Z
271,The Wall Street Journal,SPACEX Starbase Transforms Corner of Texas...,wsj,"Starbase is spread over properties around 20 miles east of downtown Brownsville, near park land, ranches and a National Wildlife Refuge",https://www.wsj.com/us-news/humanitys-future-or-an-unwelcome-interloper-spacexs-starbase-transforms-a-corner-of-texas-0cc99d16,2023-11-26T14:00:03Z
272,The Wall Street Journal,Zombie Malls Kept Alive Even When Towns Want to Pull Plug...,Kate King,"Zombie Malls Kept Alive Even When Towns Want to Pull Plug...

 
 
 
 (First column, 6th story, link)

 

 

 
 
 Drudge Report Feed needs your support!   Become a Patron",https://www.wsj.com/real-estate/commercial/malls-real-estate-shopping-24c3d7fd,2023-11-26T12:19:37Z
273,The Wall Street Journal,Americans on List of Next Hamas Hostages Set for Release... Developing...,"Stephen Kalin, Dov Lieber, Anat Peled, Summer Said, Eric Morath, Margherita Stancati, Chao Deng, Ken Thomas","Americans on List of Next Hamas Hostages Set for Release... Developing...

 
 
 
 (Second column, 1st story, link)

 

 

 
 Related stories:Rape as weapon -- the horrific enemy...
LASERS USED TO BURN THROUGH ROCKETS...
Pro-Palestinian supporters disrup…",https://www.wsj.com/livecoverage/israel-hamas-war-gaza-strip-2023-11-21,2023-11-26T12:19:37Z
274,Chicago Tribune,"Column: From the Corey Perry mystery to a classic edition of The Game, 10 takeaways from the couch on Thanksgiving weekend",Paul Sullivan,A busy Thanksgiving weekend in the sports world included Corey Perry's mysterious absence and DeMar DeRozan's righteous stance on the NBA's In-Season Tournament.,https://www.chicagotribune.com/sports/ct-chicago-blackhawks-bulls-corey-perry-demar-derozan-20231126-sw26tkkptrgdzhrn6iykcq6ony-story.html,2023-11-26T12:00:00Z
275,Chicago Tribune,Column: Finishing touch proves elusive for Matt Eberflus’ Chicago Bears — and it will define them until they buck the trend,Brad Biggs,"Close doesn't cut it in the NFL, and until Matt Eberflus' Chicago Bears can begin finishing games, the team's penchant for poor play in the fourth quarter will define it.",https://www.chicagotribune.com/sports/bears/ct-chicago-bears-matt-eberflus-finishing-games-20231126-jtzqycb2ivfzrir6nrjuajw44e-story.html,2023-11-26T12:00:00Z
276,The Wall Street Journal,First Republic Crashed and Burned. This Bank Wants to Copy Its Business.,"Rachel Louise Ensign, Gina Heeb",Citizens Financial Group hopes a new unit geared toward rich people will help it crack a long-coveted market,https://www.wsj.com/finance/banking/first-republic-crashed-and-burned-this-bank-wants-to-copy-its-business-8d5de2b1,2023-11-26T12:00:00Z
277,Reuters,Shoppers click 'buy' as retailers slash prices ahead of Cyber Monday,Reuters,"Holiday shoppers in the U.S. are seeking out the best deals and strategically nabbing the deepest discounts ahead of Cyber Monday, according to data from retailer websites aggregated by third parties.",https://www.reuters.com/business/shoppers-click-buy-retailers-slash-prices-ahead-cyber-monday-2023-11-26/,2023-11-26T11:15:34Z
278,Chicago Tribune,"With a bump from Chicago Bears, girls flag football taking hold at area high schools — including a playoff run at Stagg",Jeff Vorva,Stagg girls flag football team's first season took them to Halas Hall for the state playoffs as more teams sign on for what they hope will be an IHSA sanctioned sport next year.,https://www.chicagotribune.com/suburbs/daily-southtown/ct-sta-girls-flag-football-st-1126-20231126-z724x46ov5cehbq4nms4hqnhji-story.html,2023-11-26T11:15:00Z
279,Chicago Tribune,Clarence Page: GOP does its best to show us how to normalize an insurrection,Clarence Page,"Speaker Mike Johnson has released video of the Capitol during the Jan. 6 assault, and it’s already creating more heat than light from his party.",https://www.chicagotribune.com/columns/clarence-page/ct-column-jan-6-insurrection-donald-trump-video-page-20231126-prk4vr74zbcuvltjwwevmclgtm-story.html,2023-11-26T11:00:00Z
280,Chicago Tribune,Editorial: Wind farms in Lake Michigan make no economic sense. Springfield ought to sink that idea.,The Editorial Board,State lawmakers intend to revisit legislation hiking electric bills to finance a Lake Michigan wind farm. The should take a pass.,https://www.chicagotribune.com/opinion/editorials/ct-editorials-wind-power-lake-michigan-robert-peters-springfield-20231126-bboeqbhdwzhm7kwvnilpfl6apy-story.html,2023-11-26T11:00:00Z
281,Chicago Tribune,Wolf Carbon Solutions pauses its bid for Illinois approval of a controversial 260-mile CO2 pipeline,Nara Schoenberg,"Wolf’s decision comes a month after a staff member at the ICC recommended against allowing the pipeline to be built, citing multiple concerns, including safety and uncertainty about who would supply the carbon dioxide and where it would be stored.",https://www.chicagotribune.com/news/environment/ct-wolf-carbon-pipeline-illinois-20231126-img63h2herd2reweypb23yh6zm-story.html,2023-11-26T11:00:00Z
282,Chicago Tribune,Letters: Northwestern president’s action to address antisemitism and other hate is the right response,Chicago Tribune,"With the dangerous rise of antisemitism on college campuses here in Chicago and around the world, there is a need to address antisemitism.",https://www.chicagotribune.com/opinion/letters/ct-letters-vp-112623-20231126-7ifmxknemfcoplkxax22rf33re-story.html,2023-11-26T11:00:00Z
283,Chicago Tribune,"In 1st trial of its kind in the U.S., Irish startup spreads concrete dust on Illinois farm field to remove CO2 from the air",Adriana Pérez,"Applying concrete to cropland would ideally also be low-cost, as the material requires no maintenance after being applied to fields.",https://www.chicagotribune.com/news/environment/ct-concrete-farms-carbon-removal-illinois-20231126-ngkvab3cfjaotnfzwqbjftsjca-story.html,2023-11-26T11:00:00Z
284,Chicago Tribune,"Educator workforce shortages worse in special ed and bilingual classes, Illinois watchdog report shows",Shanzeh Ahmad,"Vacancies “disproportionately affect schools serving Black and Latinx students as well as students from low-income households,” the report said.",https://www.chicagotribune.com/education/ct-advance-illinois-educator-shortage-20231126-txvnv4s245fnpnym6ngl6eu74q-story.html,2023-11-26T11:00:00Z
285,Chicago Tribune,Take time to reflect on your garden this year,Beth Botts,Here are some advicefor things to jot down before you’re swept away by the holiday whirl.,https://www.chicagotribune.com/lifestyles/home-and-garden/ct-home-garden-morton-1123-20231126-duwfnzqnurctrp55nr3ue545na-story.html,2023-11-26T11:00:00Z
286,Chicago Tribune,Mary Pattillo: My students in prison have complex pasts but are now creating new stories,Mary Pattillo,"As an educator in the Northwestern Prison Education program, I have learned that my students' stories are crucial for healing, for them and us.",https://www.chicagotribune.com/opinion/commentary/ct-opinion-northwestern-prison-education-program-graduates-storytelling-20231126-mudvn54g6ravhlpk6lf6dhznsi-story.html,2023-11-26T11:00:00Z
287,Chicago Tribune,"‘I can’t do a lot of things, but I can do this’: How one Chicagoan is stepping up for migrant children with disabilities",Nell Salzman,Experts say migrant families with disabled children face especially daunting hurdles.,https://www.chicagotribune.com/immigration/ct-disabled-migrants-iep-20231126-fbqj5fw6j5f2dlfkryeulpbfaq-story.html,2023-11-26T11:00:00Z
288,Chicago Tribune,"With ‘the tuna,’ Burger King and ‘the riot act,’ the trial of Chicago political icon Ed Burke is already finding its place in city lore","Ray Long, Megan Crepeau, Jason Meisner","At its core, the Ed Burke trial is about a series of alleged shakedowns by the longest-serving alderman in City Council history — a potential highlight reel for the sordid legacy of City Hall.",https://www.chicagotribune.com/news/criminal-justice/ct-ed-burke-sunday-20231126-hdlpcknk4fgmlbj43wstgkcxme-story.html,2023-11-26T11:00:00Z
289,Chicago Tribune,"At West Ridge tutoring center, multilingual refugees given safe space to learn with help from college students",Zareen Syed,"Since opening its facility in 2019, Forging Opportunities for Refugees in America has partnered with several organizations and institutions to foster a volunteer base to help teach kids.",https://www.chicagotribune.com/education/ct-refugee-students-tutoring-fora-20231126-pqqx2mvi2fg2tbauy7k3pmhttq-story.html,2023-11-26T11:00:00Z
290,The Wall Street Journal,How the $1.8 Billion Real-Estate Commissions Lawsuit Came to Be,Laura Kusisto,"For years, lawyers prodded at the rule on how buyers’ and sellers’ agents share fees. But two lawsuits finally took aim at it head on.",https://www.wsj.com/real-estate/how-the-1-8-billion-real-estate-commissions-lawsuit-came-to-be-106433d1,2023-11-26T10:30:00Z
291,The Wall Street Journal,Black Friday Spending Was Strong. How People Pay for Gifts Is Upending Retailers.,"Suzanne Kapner, Imani Moise",Consumers are shifting away from store credit cards as brand loyalty wanes and interest rates rise,https://www.wsj.com/business/retail/black-friday-spending-was-strong-how-people-pay-for-gifts-is-upending-retailers-e783ba2e,2023-11-26T10:30:00Z
292,Chicago Tribune,Ask Amy: Girlfriend seeks to go through phone,Amy Dickinson,"Dear Amy: She asks to “go through” my phone on a regular basis. She says that her previous boyfriend cheated on her (they were engaged), and that going through my phone helps to ease her anxiety about being cheated on.",https://www.chicagotribune.com/advice/ask-amy-dickinson-20231126-me72wd5jdfhvlg5ynquqpu7ize-story.html,2023-11-26T09:30:00Z
293,Chicago Tribune,Ryan Fitzgerald is told there’s one way for Loyola to one-up itself. ‘A perfect 14-0.’ So he makes it happen.,Steve Reaven,"Quarterback Ryan Fitzgerald leads Loyola to the Class 8A state final, where he puts an exclamation point on the team’s undefeated run.",https://www.chicagotribune.com/suburbs/wilmette/sports/ct-wml-fbl-loyola-tl-1130-20231126-rgokvmnu3nbnnn3kgfgvuyygca-story.html,2023-11-26T06:38:13Z
294,Chicago Tribune,"He’s the boss. Braden Tischer reflects on Lincoln-Way East’s hog dinners. ‘A lot of laughs, a lot of good times.’",Jeff Vorva,Braden Tischer took charge Saturday for the Griffins during a 26-15 loss to Loyola in the Class 8A state championship game at Hancock Stadium.,https://www.chicagotribune.com/suburbs/daily-southtown/sports/ct-sta-fbl-lwe-loyola-st-1127-20231126-uskrvzzw6zfqtpnv7x7z77uyay-story.html,2023-11-26T06:14:05Z
295,Chicago Tribune,Dominic Fantin steps forward in Crown Point’s first state championship game: ‘I’m going to remember it forever’,Michael Osipoff,"Dominic Fantin’s interception was emblematic of the tenacious, opportunistic defense that Crown Point played against Ben Davis.",https://www.chicagotribune.com/suburbs/post-tribune/sports/ct-ptb-fbl-crown-point-st-1127-20231126-ppgautd54fg7znflv6cc6tblrm-story.html,2023-11-26T05:38:00Z
296,Chicago Tribune,"Tavon Rice makes fashion statement for Mount Carmel. ‘It re-ripped the first drive.’ Plus, state football notes.",Gregg Voss,"Tavon Rice was seemingly ready to go for the Class 7A state championship game, which the Caravan won 35-10 over Downers Grove North.",https://www.chicagotribune.com/suburbs/daily-southtown/sports/ct-sta-fbl-notes-st-1127-20231126-echu74wqpzgmpbs47ifwllgndm-story.html,2023-11-26T05:24:19Z
297,Chicago Tribune,Mount Carmel High School celebrates 15th football state championship,Hank Sanders,Mount Carmel High School leaders spoke about the sacrifices made by the football players and their families during a rally celebrating the school's 15th state football title.,https://www.chicagotribune.com/news/breaking/ct-sta-mount-carmel-championship-pep-rally-st-1130-20231129-wuyawggig5dezevjpqxeol3mg4-story.html,2023-11-29T23:50:48Z
298,Chicago Tribune,Protesters in Brighton Park speak out against migrant camp as construction begins,Alysa Guffey,Winterized tent structures began to take shape Wednesday at Chicago’s first government-run tent encampment for migrants despite continued protests from neighbors.,https://www.chicagotribune.com/immigration/ct-brighton-park-protest-migrant-tents-20231129-m34jrzvjrjfv7nzib3mdxnoyyq-story.html,2023-11-29T23:36:08Z
299,The Wall Street Journal,SEC Charges Phoenix Real Estate Investor With Stock Manipulation Over Fake WeWork Offer,Ben Glickman,The SEC claims the investor used an entity he created and controlled to make a false tender offer for WeWork,https://www.wsj.com/finance/regulation/sec-charges-phoenix-real-estate-investor-with-stock-manipulation-over-fake-wework-offer-e395866a,2023-11-29T23:25:00Z
300,Chicago Tribune,"Indiana judge dismisses state’s lawsuit against TikTok that alleged child safety, privacy concerns",Isabella Volmert,An Indiana county judge on Wednesday dismissed a lawsuit filed by the state accusing TikTok of deceiving its users about the level of inappropriate content for children on its platform and the security of its consumers’ personal information.,https://www.chicagotribune.com/business/indiana-judge-tiktok-20231129-ro2jvrgqrfbevfdrjtpdv3oldi-story.html,2023-11-29T23:14:28Z
301,Chicago Tribune,Construction companies in fined connection with worker’s death at Lambeau Field,Chicago Tribune,"Federal labor inspectors have levied fines against two construction companies in connection with a worker’s death at Lambeau Field, home of the Green Bay Packers, earlier this year.",https://www.chicagotribune.com/sports/breaking/green-bay-packers-stadium-20231129-5gmo76jumvcuzbl2grsyphbt3u-story.html,2023-11-29T22:35:11Z
302,Chicago Tribune,Construction companies in fined connection with worker’s death at Lambeau Field,Chicago Tribune,"Federal labor inspectors have levied fines against two construction companies in connection with a worker’s death at Lambeau Field, home of the Green Bay Packers, earlier this year.",https://www.chicagotribune.com/sports/breaking/green-bay-packers-stadium-20231129-5gmo76jumvcuzbl2grsyphbt3u-story.html,2023-11-29T22:35:11Z
303,Chicago Tribune,Developer wants to build giant apartment tower in the Clybourn Corridor,Brian J. Rogal,"The proposal is a sign that, despite some economic headwinds and relatively high interest rates, major developers are confident that renters will continue flocking to new apartments.",https://www.chicagotribune.com/business/ct-biz-apartment-tower-halsted-20231129-gmzrmkxdx5cgbh6cdfxuti7pka-story.html,2023-11-29T22:35:01Z
304,Chicago Tribune,Terry Savage: Take stock of your portfolio in December,Terry Savage,December is historically one of the market’s best performing months — especially in a December preceding an election year.,https://www.chicagotribune.com/business/success/ct-terry-savage-take-stock-december-portfolio-20231129-br47fs6xtzd5zirmulixaftjyu-story.html,2023-11-29T21:17:25Z
305,Chicago Tribune,UAW will try to organize workers at all US nonunion factories after winning new contracts in Detroit,Associated Press,"The UAW's plan to organize non-union factories includes EV startup Rivian, which makes electric trucks from a renovated Mitsubishi factory in Normal.",https://www.chicagotribune.com/business/ct-biz-autoworkers-organizing-campaign-ap-20231129-oyqsit4nvrhl5e4nod3skrm2gi-story.html,2023-11-29T21:12:22Z
306,Chicago Tribune,White House Christmas tree secured upright after heavy winds blew it down,Ashraf Khalil,"The National Christmas Tree in front of the White House fell down during high winds but later was hoisted back upright, and its lighting ceremony will go ahead as scheduled.",https://www.chicagotribune.com/lifestyles/holiday/white-house-christmas-tree-20231129-gaeahphpnbhalpiec3uvrsmvhq-story.html,2023-11-29T20:58:02Z
307,Chicago Tribune,"9-month-old girl shot in head Tuesday night on South Side, person being questioned by police",Deanese Williams-Harris,"Wednesday morning, officers followed up on a report of a 9-month-old girl being shot shortly before 11 p.m. Tuesday in the first block of East Garfield Boulevard.",https://www.chicagotribune.com/news/breaking/ct-chicago-shooting-violence-20231129-b5fipl2uybfdbibrzoatfx6ebi-story.html,2023-11-29T20:55:48Z
308,Chicago Tribune,"Frances Sternhagen, who played Esther Clavin on ‘Cheers’ and Bunny MacDougal on ‘Sex and the City,’ dies at 93",Mark Kennedy,"Frances Sternhagen, the veteran character actor who won two Tony Awards and became a familiar maternal face to TV viewers later in life in such shows as “Cheers,” “ER,” “Sex and the City” and “The Closer,” has died. She was 93.",https://www.chicagotribune.com/news/obituaries/frances-sternhagen-20231129-h5hxjud2w5cwdlnqvrq667iyjy-story.html,2023-11-29T20:49:21Z
309,The Wall Street Journal,Charlie Munger’s Life Was About Way More Than Money,Jason Zweig,"Billionaire investor attributed his success to a mix of intelligence, hard work ‘and a lot of luck’",https://www.wsj.com/finance/investing/charlie-munger-life-money-ae3853ad,2023-11-29T20:43:00Z
310,Chicago Tribune,Kraft debuts dairy-free mac and cheese,Dee-Ann Durbin,"Kraft NotMac & Cheese will be rolled out to U.S. stores over the next few months. It was developed in collaboration with Not Co., a Chicago startup that makes plant-based milk, burgers and other products. Kraft and Not. Co. formed a joint venture last year an…",https://www.chicagotribune.com/business/kraft-notmac-and-cheese-20231129-yasaf4tfuzeoln5f2izrwtkaty-story.html,2023-11-29T20:27:44Z
311,Reuters,UAW launches bid to organize Tesla and 'entire non-union auto sector',David Shepardson,"The United Auto Workers union said on Wednesday it is launching a first-of-its-kind push to publicly organize the entire nonunion auto sector in the U.S. <a href=""/business/autos-transportation/uaw-says-64-workers-vote-ratify-detroit-three-contracts-2023-11-2…",https://www.reuters.com/business/autos-transportation/uaw-launches-bid-organize-tesla-entire-non-union-auto-sector-2023-11-29/,2023-11-29T20:23:38Z
312,Chicago Tribune,"Review: Stepping in for Barenboim at Symphony Center, Hrůša’s pinch-hit with Staatskapelle Berlin is a grand slam",Hannah Edgar,The Czech conductor is fresh off a triumphant run of Lyric’s “Jenůfa” and is a hot candidate for the CSO music directorship himself.,https://www.chicagotribune.com/entertainment/music/ct-ent-staatskapelle-berlin-cso-review-20231129-nmkmo32l3fcflcela7nuzjiz7q-story.html,2023-11-29T20:18:23Z
313,Chicago Tribune,When will Patrick Kane make his Detroit Red Wings debut?,Stephen Whyno,Patrick Kane said Wednesday he could make his debut with the Detroit Red Wings as soon as next week in his hometown of Buffalo against the Sabres.,https://www.chicagotribune.com/sports/blackhawks/ct-patrick-kane-detroit-red-wings-debut-20231129-y5jgm4cf4vecfjp4vne2ye44y4-story.html,2023-11-29T20:03:33Z
314,Chicago Tribune,Afternoon Briefing: Woman with early-onset Alzheimer’s gene joins drug trial at Park Ridge hospital,Chicago Tribune staff,"Good afternoon, Chicago. Here's what is happening today.",https://www.chicagotribune.com/news/ct-aud-cb-afternoon-briefing-newsletter-nov29-20231129-mpkxf5vstrf7ffuexwpmdw5zxq-story.html,2023-11-29T20:02:44Z
315,The Wall Street Journal,OPEC+ Mulls New Oil Production Cuts Amid Middle East Conflict...,wsj,"Saudi Arabia favors curb of up to 1 million barrels a day, while other members oppose downgrading quotas",https://www.wsj.com/business/energy-oil/opec-mulls-new-oil-production-cuts-amid-middle-east-conflict-f37cef80,2023-11-29T20:00:03Z
316,The Wall Street Journal,"Gayle King on Jumpsuits, Waking Up at 3:24 a.m. and Why She Doesn’t Drink",Marshall Heyman,"As her CNN show debuts, the media queen spills her secrets for living (and dressing) well",https://www.wsj.com/style/fashion/gayle-king-interview-style-jumpsuits-waking-up-early-why-she-doesnt-drink-5eb774a2,2023-11-29T20:00:00Z
317,Chicago Tribune,Illinois’ Johnny Newton and Northwestern coach David Braun receive top Big Ten football awards,Chicago Tribune staff,Illinois defensive tackle Johnny Newton was named Defensive Player of the Year and Northwestern’s David Braun received Coach of the Year honors as the Big Ten announced its season-end awards.,https://www.chicagotribune.com/sports/college/ct-big-ten-football-awards-20231129-chppg4vzgbfnvdmb6ivhecl7me-story.html,2023-11-29T19:58:01Z
318,Chicago Tribune,Groupon is downsizing once-massive Chicago headquarters to subleased floor of Leo Burnett building,Robert Channick,"Online marketplace Groupon, whose River North headquarters were once the nexus of the Chicago tech ecosystem, is downsizing to subleased space in the Leo Burnett building.",https://www.chicagotribune.com/business/ct-biz-groupon-sublease-leo-burnett-building-20231129-5aoogymb55hf3mav53hpn7a4fm-story.html,2023-11-29T19:37:20Z
319,The Wall Street Journal,Berkshire Hathaway’s Board Is Old. Not All Investors Are Happy About That.,Justin Baer,Charlie Munger is the fourth longtime Berkshire Hathaway director to die in two years,https://www.wsj.com/business/berkshire-hathaway-board-investors-6b6e44a0,2023-11-29T19:29:00Z
320,Chicago Tribune,Holiday lights tours — via trolley and tuk tuk — showcase the best Christmas displays Naperville has to offer,Michelle Mullins,"It’s beginning to look a lot like Christmas, and two Naperville businesses -- Tuk Tuk Naperville and Naperville Trolley and Tours -- are ready to showcase all the city has to offer with their holiday lights tours.",https://www.chicagotribune.com/suburbs/naperville-sun/ct-nvs-tuk-tuk-trolley-decoration-tours-naperville-st-1201-20231129-xe4tkvkhjjbclmqdd7hw4lmp3a-story.html,2023-11-29T19:20:59Z
321,Chicago Tribune,Blue Island residents push for return of hospital as council reviews senior housing plans for MetroSouth,Hank Sanders,"Residents tell Blue Island City Council they want another hospital, not senior housing, at MetroSouth, but city administrator says that won't happen.",https://www.chicagotribune.com/suburbs/daily-southtown/ct-sta-blue-island-council-metrosouth-st-1130-20231129-tvlcv3ym2bezdpfuooxm2bnjne-story.html,2023-11-29T19:19:22Z
322,Reuters,"US health insurers Humana, Cigna in talks to merge -WSJ",Reuters,"U.S. health insurer Cigna <a href=""https://www.reuters.com/markets/companies/CI.N"" target=""_blank"">(CI.N)</a> is in talks to merge with peer Humana <a href=""https://www.reuters.com/markets/companies/HUM.N"" target=""_blank"">(HUM.N)</a>, a source familiar with t…",https://www.reuters.com/markets/deals/us-health-insurers-humana-cigna-talks-merge-wsj-2023-11-29/,2023-11-29T19:02:57Z
323,Chicago Tribune,Two men charged in the shooting of a Bedford Park police officer,"Jake Sheridan, Caroline Kubzansky","Raul Perez, 24, and Luis Gonzalez, 22, were charged in the Sunday carjacking and police shooting.",https://www.chicagotribune.com/news/criminal-justice/ct-bedford-parl-police-officer-shot-charges-20231129-5m3xphky5fae3ijzh2c25cogpq-story.html,2023-11-29T18:37:35Z
324,Chicago Tribune,"Defying fate, woman with early-onset Alzheimer’s gene joins new drug trial at Park Ridge hospital",Elena Ferrarin,"Heather Mejia, 44, learned she carried a gene for early onset Alzheimer's disease and enrolled in a clinical trial at Advocate Lutheran General Hospital in Park Ridge, managed by Dr. Darren Gitelman.",https://www.chicagotribune.com/suburbs/park-ridge/ct-prh-alzheimers-trial-tl-1130-20231130-cdo2vg4bljcknhrnphbe6q6mka-story.html,2023-11-29T18:31:10Z
325,Chicago Tribune,"Women’s soccer falls short in medical support and pay, a World Cup survey by a players union finds",James Robson,"A survey conducted by players union FIFPRO found that 60% of respondents said they lacked mental health support, while one in three earned less than $30,000 a year from soccer.",https://www.chicagotribune.com/sports/soccer/ct-womens-soccer-world-cup-survey-20231129-3j4s76zbvzg5zan374yjeamom4-story.html,2023-11-29T18:30:01Z
326,Chicago Tribune,Youth football teams from Dixmoor and Robbins raise funds for Florida trips — and eye national championships,Mike Nolan,Youth football teams from Dixmoor and Robbins are scrambling to come up with thousands of dollars as they head to Florida to play for potential national championships.,https://www.chicagotribune.com/suburbs/daily-southtown/ct-sta-robbins-dixmoor-youth-football-teams-st-1130-20231129-3nuhzwqkqfaz3csvamj6lvmkli-story.html,2023-11-29T18:25:27Z
327,Chicago Tribune,Aaron Rodgers’ 21-day practice window begins for New York Jets in QB’s next step in recovery from torn Achilles tendon,Dennis Waszak Jr.,"The New York Jets opened the 21-day practice window for quarterback Aaron Rodgers on Wednesday, the next step in the four-time NFL MVP’s rehabilitation from a torn Achilles tendon.",https://www.chicagotribune.com/sports/breaking/ct-aaron-rodgers-new-york-jets-20231129-b3bmzmnmgvbwxkdi3w22xlz2se-story.html,2023-11-29T18:16:12Z
328,Chicago Tribune,"Mark Kellar, who won the 1973 NCAA rushing title as a Northern Illinois fullback, dies at 71",Chicago Tribune staff,"As an NIU senior in 1973, Mark Kellar rushed for 1,719 yards to outpace three Heisman Trophy winners — Tony Dorsett, John Cappelletti and Archie Griffin — for the Division I-A rushing title.",https://www.chicagotribune.com/sports/college/ct-northern-illinois-mark-kellar-obit-20231129-ptp7ggetx5bujervhnskuygrwq-story.html,2023-11-29T18:01:14Z
329,Chicago Tribune,Former Indiana state Rep. Sean Eberhart pleads guilty to casino corruption charge,Isabella Volmert,A former Indiana lawmaker pleaded guilty Tuesday to supporting a bill favoring a casino in exchange for promises of lucrative employment.,https://www.chicagotribune.com/news/criminal-justice/ct-ptb-former-lawmaker-guilty-plea-st-1129-20231129-65svtlrwlnezbdrkfme4u6rbvq-story.html,2023-11-29T17:46:43Z
330,Chicago Tribune,Autoworker strike cost General Motors $1.1 billion,Tom Krisher,"GM, as well as rivals Ford and Jeep maker Stellantis, agreed to new contracts with the UAW that raise top assembly plant worker pay by about 33% by the time the deals expire in April of 2028.",https://www.chicagotribune.com/business/general-motors-strike-cost-20231129-u6xkq3wj6rcabf77qubuireu6u-story.html,2023-11-29T17:41:31Z
331,Chicago Tribune,"CJ Savage steps into void left by Terrence Smith’s foul trouble, lifts West Aurora past Yorkville: ‘He has to lead.’",Rick Armstrong,CJ Savage scored a game-high 19 points as West Aurora rolled to a 55-33 win over Illinois recruit Jason Jakstys and the shorthanded Foxes.,https://www.chicagotribune.com/suburbs/aurora-beacon-news/sports/ct-abn-bbk-yorkv-waur-st-1130-20231129-iwszxmv5ordslnqmasve3d4tbq-story.html,2023-11-29T17:25:51Z
332,Chicago Tribune,Inheritance money in dispute after death of woman who made millions off sale of Sue the T-rex remains,Chicago Tribune,Fossil hunters discovered the skeleton in 1990 on property owned by Maurice and Darlene Williams that sits on the Cheyenne River Reservation in South Dakota. The couple made $7.6 million from the auction of Sue — now on display at Chicago’s Field Museum.,https://www.chicagotribune.com/entertainment/museums/sue-the-t-rex-20231129-3pvfj2kd5vavfnaqpevaizhrly-story.html,2023-11-29T17:25:43Z
333,Chicago Tribune,Inheritance money in dispute after death of woman who made millions off sale of Sue the T-rex remains,Chicago Tribune,Fossil hunters discovered the skeleton in 1990 on property owned by Maurice and Darlene Williams that sits on the Cheyenne River Reservation in South Dakota. The couple made $7.6 million from the auction of Sue — now on display at Chicago’s Field Museum.,https://www.chicagotribune.com/entertainment/museums/sue-the-t-rex-20231129-3pvfj2kd5vavfnaqpevaizhrly-story.html,2023-11-29T17:25:43Z
