,Original Title Text,Normalized Title,Original Description Text,Normalized Description,Original Author Text,Normalized Author
270,SPACEX Starbase Transforms Corner of Texas...,"['spacex', 'starbas', 'transform', 'corner', 'texa']","Starbase is spread over properties around 20 miles east of downtown Brownsville, near park land, ranches and a National Wildlife Refuge","['starbas', 'spread', 'properti', 'around', '20', 'mile', 'east', 'downtown', 'brownsvil', 'near', 'park', 'land', 'ranch', 'nation', 'wildlif', 'refug']",wsj,['wsj']
271,Zombie Malls Kept Alive Even When Towns Want to Pull Plug...,"['zombi', 'mall', 'kept', 'aliv', 'even', 'town', 'want', 'pull', 'plug']","Zombie Malls Kept Alive Even When Towns Want to Pull Plug...

 
 
 
 (First column, 6th story, link)

 

 

 
 
 Drudge Report Feed needs your support!   Become a Patron","['zombi', 'mall', 'kept', 'aliv', 'even', 'town', 'want', 'pull', 'plug', 'first', 'column', '6th', 'stori', 'link', 'drudg', 'report', 'feed', 'need', 'support', 'becom', 'patron']",Kate King,"['kate', 'king']"
272,Americans on List of Next Hamas Hostages Set for Release... Developing...,"['american', 'list', 'next', 'hama', 'hostag', 'set', 'releas', 'develop']","Americans on List of Next Hamas Hostages Set for Release... Developing...

 
 
 
 (Second column, 1st story, link)

 

 

 
 Related stories:Rape as weapon -- the horrific enemy...
LASERS USED TO BURN THROUGH ROCKETS...
Pro-Palestinian supporters disrup…","['american', 'list', 'next', 'hama', 'hostag', 'set', 'releas', 'develop', 'second', 'column', '1st', 'stori', 'link', 'relat', 'stori', 'rape', 'weapon', 'horrif', 'enemi', 'laser', 'use', 'burn', 'rocket', 'support']","Stephen Kalin, Dov Lieber, Anat Peled, Summer Said, Eric Morath, Margherita Stancati, Chao Deng, Ken Thomas","['stephen', 'kalin', 'dov', 'lieber', 'anat', 'pele', 'summer', 'said', 'eric', 'morath', 'margherita', 'stancati', 'chao', 'deng', 'ken', 'thoma']"
273,"Column: From the Corey Perry mystery to a classic edition of The Game, 10 takeaways from the couch on Thanksgiving weekend","['column', 'corey', 'perri', 'mysteri', 'classic', 'edit', 'game', '10', 'takeaway', 'couch', 'thanksgiv', 'weekend']",A busy Thanksgiving weekend in the sports world included Corey Perry's mysterious absence and DeMar DeRozan's righteous stance on the NBA's In-Season Tournament.,"['busi', 'thanksgiv', 'weekend', 'sport', 'world', 'includ', 'corey', 'perri', 'mysteri', 'absenc', 'demar', 'derozan', 'righteou', 'stanc', 'nba', 'tournament']",Paul Sullivan,"['paul', 'sullivan']"
274,Column: Finishing touch proves elusive for Matt Eberflus’ Chicago Bears — and it will define them until they buck the trend,"['column', 'finish', 'touch', 'prove', 'elus', 'matt', 'eberflu', 'chicago', 'bear', 'defin', 'buck', 'trend']","Close doesn't cut it in the NFL, and until Matt Eberflus' Chicago Bears can begin finishing games, the team's penchant for poor play in the fourth quarter will define it.","['close', 'cut', 'nfl', 'matt', 'eberflu', 'chicago', 'bear', 'begin', 'finish', 'game', 'team', 'penchant', 'poor', 'play', 'fourth', 'quarter', 'defin']",Brad Biggs,"['brad', 'bigg']"
275,First Republic Crashed and Burned. This Bank Wants to Copy Its Business.,"['first', 'republ', 'crash', 'burn', 'bank', 'want', 'copi', 'busi']",Citizens Financial Group hopes a new unit geared toward rich people will help it crack a long-coveted market,"['citizen', 'financi', 'group', 'hope', 'new', 'unit', 'gear', 'toward', 'rich', 'peopl', 'help', 'crack', 'market']","Rachel Louise Ensign, Gina Heeb","['rachel', 'louis', 'ensign', 'gina', 'heeb']"
276,Shoppers click 'buy' as retailers slash prices ahead of Cyber Monday,"['shopper', 'click', 'retail', 'slash', 'price', 'ahead', 'cyber', 'monday']","Holiday shoppers in the U.S. are seeking out the best deals and strategically nabbing the deepest discounts ahead of Cyber Monday, according to data from retailer websites aggregated by third parties.","['holiday', 'shopper', 'seek', 'best', 'deal', 'strateg', 'nab', 'deepest', 'discount', 'ahead', 'cyber', 'monday', 'accord', 'data', 'retail', 'websit', 'aggreg', 'third', 'parti']",Reuters,['reuter']
277,"With a bump from Chicago Bears, girls flag football taking hold at area high schools — including a playoff run at Stagg","['bump', 'chicago', 'bear', 'girl', 'flag', 'footbal', 'take', 'hold', 'area', 'high', 'school', 'includ', 'playoff', 'run', 'stagg']",Stagg girls flag football team's first season took them to Halas Hall for the state playoffs as more teams sign on for what they hope will be an IHSA sanctioned sport next year.,"['stagg', 'girl', 'flag', 'footbal', 'team', 'first', 'season', 'took', 'hala', 'hall', 'state', 'playoff', 'team', 'sign', 'hope', 'ihsa', 'sanction', 'sport', 'next', 'year']",Jeff Vorva,"['jeff', 'vorva']"
278,Clarence Page: GOP does its best to show us how to normalize an insurrection,"['clarenc', 'page', 'gop', 'best', 'show', 'u', 'normal', 'insurrect']","Speaker Mike Johnson has released video of the Capitol during the Jan. 6 assault, and it’s already creating more heat than light from his party.","['speaker', 'mike', 'johnson', 'releas', 'video', 'capitol', '6', 'assault', 'alreadi', 'creat', 'heat', 'light', 'parti']",Clarence Page,"['clarenc', 'page']"
279,Editorial: Wind farms in Lake Michigan make no economic sense. Springfield ought to sink that idea.,"['editori', 'wind', 'farm', 'lake', 'michigan', 'make', 'econom', 'sen', 'springfield', 'ought', 'sink', 'idea']",State lawmakers intend to revisit legislation hiking electric bills to finance a Lake Michigan wind farm. The should take a pass.,"['state', 'lawmak', 'intend', 'revisit', 'legisl', 'hike', 'electr', 'bill', 'financ', 'lake', 'michigan', 'wind', 'farm', 'take', 'pas']",The Editorial Board,"['editori', 'board']"
280,Wolf Carbon Solutions pauses its bid for Illinois approval of a controversial 260-mile CO2 pipeline,"['wolf', 'carbon', 'solut', 'paus', 'bid', 'illinoi', 'approv', 'controversi', 'co2', 'pipelin']","Wolf’s decision comes a month after a staff member at the ICC recommended against allowing the pipeline to be built, citing multiple concerns, including safety and uncertainty about who would supply the carbon dioxide and where it would be stored.","['wolf', 'decis', 'come', 'month', 'staff', 'member', 'icc', 'recommend', 'allow', 'pipelin', 'built', 'cite', 'multipl', 'concern', 'includ', 'safeti', 'uncertainti', 'would', 'suppli', 'carbon', 'dioxid', 'would', 'store']",Nara Schoenberg,"['nara', 'schoenberg']"
281,Letters: Northwestern president’s action to address antisemitism and other hate is the right response,"['letter', 'northwestern', 'presid', 'action', 'address', 'antisemit', 'hate', 'right', 'respons']","With the dangerous rise of antisemitism on college campuses here in Chicago and around the world, there is a need to address antisemitism.","['danger', 'rise', 'antisemit', 'colleg', 'campus', 'chicago', 'around', 'world', 'need', 'address', 'antisemit']",Chicago Tribune,"['chicago', 'tribun']"
282,"In 1st trial of its kind in the U.S., Irish startup spreads concrete dust on Illinois farm field to remove CO2 from the air","['1st', 'trial', 'kind', 'irish', 'startup', 'spread', 'concret', 'dust', 'illinoi', 'farm', 'field', 'remov', 'co2', 'air']","Applying concrete to cropland would ideally also be low-cost, as the material requires no maintenance after being applied to fields.","['appli', 'concret', 'cropland', 'would', 'ideal', 'also', 'materi', 'requir', 'mainten', 'appli', 'field']",Adriana Pérez,"['adriana', 'pérez']"
283,"Educator workforce shortages worse in special ed and bilingual classes, Illinois watchdog report shows","['educ', 'workforc', 'shortag', 'wors', 'special', 'ed', 'bilingu', 'class', 'illinoi', 'watchdog', 'report', 'show']","Vacancies “disproportionately affect schools serving Black and Latinx students as well as students from low-income households,” the report said.","['vacanc', 'disproportion', 'affect', 'school', 'serv', 'black', 'latinx', 'student', 'well', 'student', 'household', 'report', 'said']",Shanzeh Ahmad,"['shanzeh', 'ahmad']"
284,Take time to reflect on your garden this year,"['take', 'time', 'reflect', 'garden', 'year']",Here are some advicefor things to jot down before you’re swept away by the holiday whirl.,"['advicefor', 'thing', 'jot', 'swept', 'away', 'holiday', 'whirl']",Beth Botts,"['beth', 'bott']"
285,Mary Pattillo: My students in prison have complex pasts but are now creating new stories,"['mari', 'pattillo', 'student', 'prison', 'complex', 'past', 'creat', 'new', 'stori']","As an educator in the Northwestern Prison Education program, I have learned that my students' stories are crucial for healing, for them and us.","['educ', 'northwestern', 'prison', 'educ', 'program', 'learn', 'student', 'stori', 'crucial', 'heal', 'u']",Mary Pattillo,"['mari', 'pattillo']"
286,"‘I can’t do a lot of things, but I can do this’: How one Chicagoan is stepping up for migrant children with disabilities","['lot', 'thing', 'one', 'chicagoan', 'step', 'migrant', 'child', 'disabl']",Experts say migrant families with disabled children face especially daunting hurdles.,"['expert', 'say', 'migrant', 'famili', 'disabl', 'child', 'face', 'especi', 'daunt', 'hurdl']",Nell Salzman,"['nell', 'salzman']"
287,"With ‘the tuna,’ Burger King and ‘the riot act,’ the trial of Chicago political icon Ed Burke is already finding its place in city lore","['tuna', 'burger', 'king', 'riot', 'act', 'trial', 'chicago', 'polit', 'icon', 'ed', 'burk', 'alreadi', 'find', 'place', 'citi', 'lore']","At its core, the Ed Burke trial is about a series of alleged shakedowns by the longest-serving alderman in City Council history — a potential highlight reel for the sordid legacy of City Hall.","['core', 'ed', 'burk', 'trial', 'seri', 'alleg', 'shakedown', 'alderman', 'citi', 'council', 'histori', 'potenti', 'highlight', 'reel', 'sordid', 'legaci', 'citi', 'hall']","Ray Long, Megan Crepeau, Jason Meisner","['ray', 'long', 'megan', 'crepeau', 'jason', 'meisner']"
288,"At West Ridge tutoring center, multilingual refugees given safe space to learn with help from college students","['west', 'ridg', 'tutor', 'center', 'multilingu', 'refuge', 'given', 'safe', 'space', 'learn', 'help', 'colleg', 'student']","Since opening its facility in 2019, Forging Opportunities for Refugees in America has partnered with several organizations and institutions to foster a volunteer base to help teach kids.","['sinc', 'open', 'facil', '2019', 'forg', 'opportun', 'refuge', 'america', 'partner', 'sever', 'organ', 'institut', 'foster', 'volunt', 'base', 'help', 'teach', 'kid']",Zareen Syed,"['zareen', 'sy']"
289,How the $1.8 Billion Real-Estate Commissions Lawsuit Came to Be,"['billion', 'commiss', 'lawsuit', 'came']","For years, lawyers prodded at the rule on how buyers’ and sellers’ agents share fees. But two lawsuits finally took aim at it head on.","['year', 'lawyer', 'prod', 'rule', 'buyer', 'seller', 'agent', 'share', 'fee', 'two', 'lawsuit', 'final', 'took', 'aim', 'head']",Laura Kusisto,"['laura', 'kusisto']"
290,Black Friday Spending Was Strong. How People Pay for Gifts Is Upending Retailers.,"['black', 'friday', 'spend', 'strong', 'peopl', 'pay', 'gift', 'upend', 'retail']",Consumers are shifting away from store credit cards as brand loyalty wanes and interest rates rise,"['consum', 'shift', 'away', 'store', 'credit', 'card', 'brand', 'loyalti', 'wane', 'interest', 'rate', 'rise']","Suzanne Kapner, Imani Moise","['suzann', 'kapner', 'imani', 'mois']"
291,Ask Amy: Girlfriend seeks to go through phone,"['ask', 'ami', 'girlfriend', 'seek', 'go', 'phone']","Dear Amy: She asks to “go through” my phone on a regular basis. She says that her previous boyfriend cheated on her (they were engaged), and that going through my phone helps to ease her anxiety about being cheated on.","['dear', 'ami', 'ask', 'go', 'phone', 'regular', 'basi', 'say', 'previou', 'boyfriend', 'cheat', 'engag', 'go', 'phone', 'help', 'ea', 'anxieti', 'cheat']",Amy Dickinson,"['ami', 'dickinson']"
292,Ryan Fitzgerald is told there’s one way for Loyola to one-up itself. ‘A perfect 14-0.’ So he makes it happen.,"['ryan', 'fitzgerald', 'told', 'one', 'way', 'loyola', 'perfect', 'make', 'happen']","Quarterback Ryan Fitzgerald leads Loyola to the Class 8A state final, where he puts an exclamation point on the team’s undefeated run.","['quarterback', 'ryan', 'fitzgerald', 'lead', 'loyola', 'class', '8a', 'state', 'final', 'put', 'exclam', 'point', 'team', 'undef', 'run']",Steve Reaven,"['steve', 'reaven']"
293,"He’s the boss. Braden Tischer reflects on Lincoln-Way East’s hog dinners. ‘A lot of laughs, a lot of good times.’","['bos', 'braden', 'tischer', 'reflect', 'east', 'hog', 'dinner', 'lot', 'laugh', 'lot', 'good', 'time']",Braden Tischer took charge Saturday for the Griffins during a 26-15 loss to Loyola in the Class 8A state championship game at Hancock Stadium.,"['braden', 'tischer', 'took', 'charg', 'saturday', 'griffin', 'loss', 'loyola', 'class', '8a', 'state', 'championship', 'game', 'hancock', 'stadium']",Jeff Vorva,"['jeff', 'vorva']"
294,Dominic Fantin steps forward in Crown Point’s first state championship game: ‘I’m going to remember it forever’,"['domin', 'fantin', 'step', 'forward', 'crown', 'point', 'first', 'state', 'championship', 'game', 'go', 'rememb', 'forev']","Dominic Fantin’s interception was emblematic of the tenacious, opportunistic defense that Crown Point played against Ben Davis.","['domin', 'fantin', 'intercept', 'emblemat', 'tenaci', 'opportunist', 'defens', 'crown', 'point', 'play', 'ben', 'davi']",Michael Osipoff,"['michael', 'osipoff']"
295,"Tavon Rice makes fashion statement for Mount Carmel. ‘It re-ripped the first drive.’ Plus, state football notes.","['tavon', 'rice', 'make', 'fashion', 'statement', 'mount', 'carmel', 'first', 'plu', 'state', 'footbal', 'note']","Tavon Rice was seemingly ready to go for the Class 7A state championship game, which the Caravan won 35-10 over Downers Grove North.","['tavon', 'rice', 'seemingli', 'readi', 'go', 'class', '7a', 'state', 'championship', 'game', 'caravan', 'downer', 'grove', 'north']",Gregg Voss,"['gregg', 'voss']"
296,Mount Carmel High School celebrates 15th football state championship,"['mount', 'carmel', 'high', 'school', 'celebr', '15th', 'footbal', 'state', 'championship']",Mount Carmel High School leaders spoke about the sacrifices made by the football players and their families during a rally celebrating the school's 15th state football title.,"['mount', 'carmel', 'high', 'school', 'leader', 'spoke', 'sacrific', 'made', 'footbal', 'player', 'famili', 'ralli', 'celebr', 'school', '15th', 'state', 'footbal', 'titl']",Hank Sanders,"['hank', 'sander']"
297,Protesters in Brighton Park speak out against migrant camp as construction begins,"['protest', 'brighton', 'park', 'speak', 'migrant', 'camp', 'construct', 'begin']",Winterized tent structures began to take shape Wednesday at Chicago’s first government-run tent encampment for migrants despite continued protests from neighbors.,"['winter', 'tent', 'structur', 'began', 'take', 'shape', 'wednesday', 'chicago', 'first', 'tent', 'encamp', 'migrant', 'despit', 'continu', 'protest', 'neighbor']",Alysa Guffey,"['alysa', 'guffey']"
298,SEC Charges Phoenix Real Estate Investor With Stock Manipulation Over Fake WeWork Offer,"['sec', 'charg', 'phoenix', 'real', 'estat', 'investor', 'stock', 'manipul', 'fake', 'wework', 'offer']",The SEC claims the investor used an entity he created and controlled to make a false tender offer for WeWork,"['sec', 'claim', 'investor', 'use', 'entiti', 'creat', 'control', 'make', 'fals', 'tender', 'offer', 'wework']",Ben Glickman,"['ben', 'glickman']"
299,"Indiana judge dismisses state’s lawsuit against TikTok that alleged child safety, privacy concerns","['indiana', 'judg', 'dismiss', 'state', 'lawsuit', 'tiktok', 'alleg', 'child', 'safeti', 'privaci', 'concern']",An Indiana county judge on Wednesday dismissed a lawsuit filed by the state accusing TikTok of deceiving its users about the level of inappropriate content for children on its platform and the security of its consumers’ personal information.,"['indiana', 'counti', 'judg', 'wednesday', 'dismiss', 'lawsuit', 'file', 'state', 'accus', 'tiktok', 'deceiv', 'user', 'level', 'inappropri', 'content', 'child', 'platform', 'secur', 'consum', 'person', 'inform']",Isabella Volmert,"['isabella', 'volmert']"
300,Construction companies in fined connection with worker’s death at Lambeau Field,"['construct', 'compani', 'fine', 'connect', 'worker', 'death', 'lambeau', 'field']","Federal labor inspectors have levied fines against two construction companies in connection with a worker’s death at Lambeau Field, home of the Green Bay Packers, earlier this year.","['feder', 'labor', 'inspector', 'levi', 'fine', 'two', 'construct', 'compani', 'connect', 'worker', 'death', 'lambeau', 'field', 'home', 'green', 'bay', 'packer', 'earlier', 'year']",Chicago Tribune,"['chicago', 'tribun']"
301,Construction companies in fined connection with worker’s death at Lambeau Field,"['construct', 'compani', 'fine', 'connect', 'worker', 'death', 'lambeau', 'field']","Federal labor inspectors have levied fines against two construction companies in connection with a worker’s death at Lambeau Field, home of the Green Bay Packers, earlier this year.","['feder', 'labor', 'inspector', 'levi', 'fine', 'two', 'construct', 'compani', 'connect', 'worker', 'death', 'lambeau', 'field', 'home', 'green', 'bay', 'packer', 'earlier', 'year']",Chicago Tribune,"['chicago', 'tribun']"
302,Developer wants to build giant apartment tower in the Clybourn Corridor,"['develop', 'want', 'build', 'giant', 'apart', 'tower', 'clybourn', 'corridor']","The proposal is a sign that, despite some economic headwinds and relatively high interest rates, major developers are confident that renters will continue flocking to new apartments.","['propos', 'sign', 'despit', 'econom', 'headwind', 'rel', 'high', 'interest', 'rate', 'major', 'develop', 'confid', 'renter', 'continu', 'flock', 'new', 'apart']",Brian J. Rogal,"['brian', 'rogal']"
303,Terry Savage: Take stock of your portfolio in December,"['terri', 'savag', 'take', 'stock', 'portfolio', 'decemb']",December is historically one of the market’s best performing months — especially in a December preceding an election year.,"['decemb', 'histor', 'one', 'market', 'best', 'perform', 'month', 'especi', 'decemb', 'preced', 'elect', 'year']",Terry Savage,"['terri', 'savag']"
304,UAW will try to organize workers at all US nonunion factories after winning new contracts in Detroit,"['uaw', 'tri', 'organ', 'worker', 'u', 'nonunion', 'factori', 'win', 'new', 'contract', 'detroit']","The UAW's plan to organize non-union factories includes EV startup Rivian, which makes electric trucks from a renovated Mitsubishi factory in Normal.","['uaw', 'plan', 'organ', 'factori', 'includ', 'ev', 'startup', 'rivian', 'make', 'electr', 'truck', 'renov', 'mitsubishi', 'factori', 'normal']",Associated Press,"['associ', 'press']"
305,White House Christmas tree secured upright after heavy winds blew it down,"['white', 'hous', 'christma', 'tree', 'secur', 'upright', 'heavi', 'wind', 'blew']","The National Christmas Tree in front of the White House fell down during high winds but later was hoisted back upright, and its lighting ceremony will go ahead as scheduled.","['nation', 'christma', 'tree', 'front', 'white', 'hous', 'fell', 'high', 'wind', 'later', 'hoist', 'back', 'upright', 'light', 'ceremoni', 'go', 'ahead', 'schedul']",Ashraf Khalil,"['ashraf', 'khalil']"
306,"9-month-old girl shot in head Tuesday night on South Side, person being questioned by police","['girl', 'shot', 'head', 'tuesday', 'night', 'south', 'side', 'person', 'question', 'polic']","Wednesday morning, officers followed up on a report of a 9-month-old girl being shot shortly before 11 p.m. Tuesday in the first block of East Garfield Boulevard.","['wednesday', 'morn', 'offic', 'follow', 'report', 'girl', 'shot', 'shortli', '11', 'tuesday', 'first', 'block', 'east', 'garfield', 'boulevard']",Deanese Williams-Harris,['deanes']
307,"Frances Sternhagen, who played Esther Clavin on ‘Cheers’ and Bunny MacDougal on ‘Sex and the City,’ dies at 93","['franc', 'sternhagen', 'play', 'esther', 'clavin', 'cheer', 'bunni', 'macdoug', 'sex', 'citi', 'die', '93']","Frances Sternhagen, the veteran character actor who won two Tony Awards and became a familiar maternal face to TV viewers later in life in such shows as “Cheers,” “ER,” “Sex and the City” and “The Closer,” has died. She was 93.","['franc', 'sternhagen', 'veteran', 'charact', 'actor', 'two', 'toni', 'award', 'becam', 'familiar', 'matern', 'face', 'tv', 'viewer', 'later', 'life', 'show', 'cheer', 'er', 'sex', 'citi', 'closer', 'die', '93']",Mark Kennedy,"['mark', 'kennedi']"
308,Charlie Munger’s Life Was About Way More Than Money,"['charli', 'munger', 'life', 'way', 'money']","Billionaire investor attributed his success to a mix of intelligence, hard work ‘and a lot of luck’","['billionair', 'investor', 'attribut', 'success', 'mix', 'intellig', 'hard', 'work', 'lot', 'luck']",Jason Zweig,"['jason', 'zweig']"
309,Kraft debuts dairy-free mac and cheese,"['kraft', 'debut', 'mac', 'chees']","Kraft NotMac & Cheese will be rolled out to U.S. stores over the next few months. It was developed in collaboration with Not Co., a Chicago startup that makes plant-based milk, burgers and other products. Kraft and Not. Co. formed a joint venture last year an…","['kraft', 'notmac', 'chees', 'roll', 'store', 'next', 'month', 'develop', 'collabor', 'chicago', 'startup', 'make', 'milk', 'burger', 'product', 'kraft', 'form', 'joint', 'ventur', 'last', 'year']",Dee-Ann Durbin,['durbin']
310,UAW launches bid to organize Tesla and 'entire non-union auto sector',"['uaw', 'launch', 'bid', 'organ', 'tesla', 'auto', 'sector']","The United Auto Workers union said on Wednesday it is launching a first-of-its-kind push to publicly organize the entire nonunion auto sector in the U.S. <a href=""/business/autos-transportation/uaw-says-64-workers-vote-ratify-detroit-three-contracts-2023-11-2…","['unit', 'auto', 'worker', 'union', 'said', 'wednesday', 'launch', 'push', 'publicli', 'organ', 'entir', 'nonunion', 'auto', 'sector']",David Shepardson,"['david', 'shepardson']"
311,"Review: Stepping in for Barenboim at Symphony Center, Hrůša’s pinch-hit with Staatskapelle Berlin is a grand slam","['review', 'step', 'barenboim', 'symphoni', 'center', 'hrůša', 'staatskapel', 'berlin', 'grand', 'slam']",The Czech conductor is fresh off a triumphant run of Lyric’s “Jenůfa” and is a hot candidate for the CSO music directorship himself.,"['czech', 'conductor', 'fresh', 'triumphant', 'run', 'lyric', 'jenůfa', 'hot', 'candid', 'cso', 'music', 'directorship']",Hannah Edgar,"['hannah', 'edgar']"
312,When will Patrick Kane make his Detroit Red Wings debut?,"['patrick', 'kane', 'make', 'detroit', 'red', 'wing', 'debut']",Patrick Kane said Wednesday he could make his debut with the Detroit Red Wings as soon as next week in his hometown of Buffalo against the Sabres.,"['patrick', 'kane', 'said', 'wednesday', 'could', 'make', 'debut', 'detroit', 'red', 'wing', 'soon', 'next', 'week', 'hometown', 'buffalo', 'sabr']",Stephen Whyno,"['stephen', 'whyno']"
313,Afternoon Briefing: Woman with early-onset Alzheimer’s gene joins drug trial at Park Ridge hospital,"['afternoon', 'brief', 'woman', 'alzheim', 'gene', 'join', 'drug', 'trial', 'park', 'ridg', 'hospit']","Good afternoon, Chicago. Here's what is happening today.","['good', 'afternoon', 'chicago', 'happen', 'today']",Chicago Tribune staff,"['chicago', 'tribun', 'staff']"
314,OPEC+ Mulls New Oil Production Cuts Amid Middle East Conflict...,"['mull', 'new', 'oil', 'product', 'cut', 'amid', 'middl', 'east', 'conflict']","Saudi Arabia favors curb of up to 1 million barrels a day, while other members oppose downgrading quotas","['saudi', 'arabia', 'favor', 'curb', '1', 'million', 'barrel', 'day', 'member', 'oppos', 'downgrad', 'quota']",wsj,['wsj']
315,"Gayle King on Jumpsuits, Waking Up at 3:24 a.m. and Why She Doesn’t Drink","['gayl', 'king', 'jumpsuit', 'wake', 'drink']","As her CNN show debuts, the media queen spills her secrets for living (and dressing) well","['cnn', 'show', 'debut', 'medium', 'queen', 'spill', 'secret', 'live', 'dress', 'well']",Marshall Heyman,"['marshal', 'heyman']"
316,Illinois’ Johnny Newton and Northwestern coach David Braun receive top Big Ten football awards,"['illinoi', 'johnni', 'newton', 'northwestern', 'coach', 'david', 'braun', 'receiv', 'top', 'big', 'ten', 'footbal', 'award']",Illinois defensive tackle Johnny Newton was named Defensive Player of the Year and Northwestern’s David Braun received Coach of the Year honors as the Big Ten announced its season-end awards.,"['illinoi', 'defens', 'tackl', 'johnni', 'newton', 'name', 'defens', 'player', 'year', 'northwestern', 'david', 'braun', 'receiv', 'coach', 'year', 'honor', 'big', 'ten', 'announc', 'award']",Chicago Tribune staff,"['chicago', 'tribun', 'staff']"
317,Groupon is downsizing once-massive Chicago headquarters to subleased floor of Leo Burnett building,"['groupon', 'downsiz', 'chicago', 'headquart', 'subleas', 'floor', 'leo', 'burnett', 'build']","Online marketplace Groupon, whose River North headquarters were once the nexus of the Chicago tech ecosystem, is downsizing to subleased space in the Leo Burnett building.","['onlin', 'marketplac', 'groupon', 'whose', 'river', 'north', 'headquart', 'nexu', 'chicago', 'tech', 'ecosystem', 'downsiz', 'subleas', 'space', 'leo', 'burnett', 'build']",Robert Channick,"['robert', 'channick']"
318,Berkshire Hathaway’s Board Is Old. Not All Investors Are Happy About That.,"['berkshir', 'hathaway', 'board', 'old', 'investor', 'happi']",Charlie Munger is the fourth longtime Berkshire Hathaway director to die in two years,"['charli', 'munger', 'fourth', 'longtim', 'berkshir', 'hathaway', 'director', 'die', 'two', 'year']",Justin Baer,"['justin', 'baer']"
319,Holiday lights tours — via trolley and tuk tuk — showcase the best Christmas displays Naperville has to offer,"['holiday', 'light', 'tour', 'via', 'trolley', 'tuk', 'tuk', 'showcas', 'best', 'christma', 'display', 'napervil', 'offer']","It’s beginning to look a lot like Christmas, and two Naperville businesses -- Tuk Tuk Naperville and Naperville Trolley and Tours -- are ready to showcase all the city has to offer with their holiday lights tours.","['begin', 'look', 'lot', 'like', 'christma', 'two', 'napervil', 'busi', 'tuk', 'tuk', 'napervil', 'napervil', 'trolley', 'tour', 'readi', 'showcas', 'citi', 'offer', 'holiday', 'light', 'tour']",Michelle Mullins,"['michel', 'mullin']"
320,Blue Island residents push for return of hospital as council reviews senior housing plans for MetroSouth,"['blue', 'island', 'resid', 'push', 'return', 'hospit', 'council', 'review', 'senior', 'hous', 'plan', 'metrosouth']","Residents tell Blue Island City Council they want another hospital, not senior housing, at MetroSouth, but city administrator says that won't happen.","['resid', 'tell', 'blue', 'island', 'citi', 'council', 'want', 'anoth', 'hospit', 'senior', 'hous', 'metrosouth', 'citi', 'administr', 'say', 'wo', 'happen']",Hank Sanders,"['hank', 'sander']"
321,"US health insurers Humana, Cigna in talks to merge -WSJ","['u', 'health', 'insur', 'humana', 'cigna', 'talk', 'merg']","U.S. health insurer Cigna <a href=""https://www.reuters.com/markets/companies/CI.N"" target=""_blank"">(CI.N)</a> is in talks to merge with peer Humana <a href=""https://www.reuters.com/markets/companies/HUM.N"" target=""_blank"">(HUM.N)</a>, a source familiar with t…","['health', 'insur', 'cigna', 'http', 'talk', 'merg', 'peer', 'humana', 'http', 'sourc', 'familiar']",Reuters,['reuter']
322,Two men charged in the shooting of a Bedford Park police officer,"['two', 'men', 'charg', 'shoot', 'bedford', 'park', 'polic', 'offic']","Raul Perez, 24, and Luis Gonzalez, 22, were charged in the Sunday carjacking and police shooting.","['raul', 'perez', '24', 'lui', 'gonzalez', '22', 'charg', 'sunday', 'carjack', 'polic', 'shoot']","Jake Sheridan, Caroline Kubzansky","['jake', 'sheridan', 'carolin', 'kubzanski']"
323,"Defying fate, woman with early-onset Alzheimer’s gene joins new drug trial at Park Ridge hospital","['defi', 'fate', 'woman', 'alzheim', 'gene', 'join', 'new', 'drug', 'trial', 'park', 'ridg', 'hospit']","Heather Mejia, 44, learned she carried a gene for early onset Alzheimer's disease and enrolled in a clinical trial at Advocate Lutheran General Hospital in Park Ridge, managed by Dr. Darren Gitelman.","['heather', 'mejia', '44', 'learn', 'carri', 'gene', 'earli', 'onset', 'alzheim', 'diseas', 'enrol', 'clinic', 'trial', 'advoc', 'lutheran', 'gener', 'hospit', 'park', 'ridg', 'manag', 'darren', 'gitelman']",Elena Ferrarin,"['elena', 'ferrarin']"
324,"Women’s soccer falls short in medical support and pay, a World Cup survey by a players union finds","['woman', 'soccer', 'fall', 'short', 'medic', 'support', 'pay', 'world', 'cup', 'survey', 'player', 'union', 'find']","A survey conducted by players union FIFPRO found that 60% of respondents said they lacked mental health support, while one in three earned less than $30,000 a year from soccer.","['survey', 'conduct', 'player', 'union', 'fifpro', 'found', '60', 'respond', 'said', 'lack', 'mental', 'health', 'support', 'one', 'three', 'earn', 'le', 'year', 'soccer']",James Robson,"['jame', 'robson']"
325,Youth football teams from Dixmoor and Robbins raise funds for Florida trips — and eye national championships,"['youth', 'footbal', 'team', 'dixmoor', 'robbin', 'rais', 'fund', 'florida', 'trip', 'eye', 'nation', 'championship']",Youth football teams from Dixmoor and Robbins are scrambling to come up with thousands of dollars as they head to Florida to play for potential national championships.,"['youth', 'footbal', 'team', 'dixmoor', 'robbin', 'scrambl', 'come', 'thousand', 'dollar', 'head', 'florida', 'play', 'potenti', 'nation', 'championship']",Mike Nolan,"['mike', 'nolan']"
